Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
捷運北投站(1號出口),捷運關渡站(1號出口),300,25.13258,121.49862,25.12397,121.46712
捷運關渡站(1號出口),關渡自然公園,485,25.12397,121.46712,25.11884,121.46912
捷運復興崗站(1號出口),稻香重三路口,132,25.1378,121.4863,25.13997,121.48967
大業大同街口,捷運北投站(1號出口),542,25.13691,121.49987,25.13258,121.49862
大業大同街口,關渡宮,101,25.13691,121.49987,25.11739,121.46288
復興公園,捷運新北投站,265,25.13872,121.5021,25.13733,121.50339
捷運新北投站,捷運新北投站(2號出口),128,25.13733,121.50339,25.13675,121.50224
北投運動中心,捷運新北投站,116,25.11666,121.50962,25.13733,121.50339
中原民生路口,錦州吉林路口,163,25.05808,121.52887,25.06028,121.52991
中山北路二段59巷口,捷運中山站(5號出口),128,25.05606,121.5229,25.05296,121.51938
捷運雙連站(2號出口),永盛公園(民生東路一段23巷),433,25.05826,121.52063,25.05873,121.52488
中山北路二段59巷口,永盛公園(民生東路一段23巷),162,25.05606,121.5229,25.05873,121.52488
塔悠疏散門,濱江街199巷口,171,25.0648,121.56788,25.0734,121.53985
捷運行天宮站(3號出口),濱江果菜市場,296,25.05992,121.5333,25.06807,121.53673
捷運松江南京站(7號出口),興安合江路口,114,25.05246,121.5332,25.05619,121.53949
復興北路514巷口東側,松江民生路口,136,25.06597,121.54117,25.05765,121.53299
市民東興路口,復興北路514巷口東側,122,25.0484,121.56586,25.06597,121.54117
台泥大樓,捷運雙連站(2號出口),147,25.06142,121.52305,25.05826,121.52063
台泥大樓,新興公園,487,25.06142,121.52305,25.06157,121.52439
南京伊通街口,捷運松江南京站(4號出口),204,25.05189,121.53517,25.0512,121.53312
捷運民權西路站(3號出口),撫順街41巷(崇德宮前),115,25.06129,121.52021,25.06389,121.51916
樂群二敬業四路口,臺北市立圖書館大直分館,178,25.07976,121.55813,25.08152,121.54646
捷運大直站(1號出口),臺北市立圖書館大直分館,186,25.0801,121.54708,25.08152,121.54646
捷運中山站(2號出口),捷運松江南京站(8號出口),163,25.05228,121.52176,25.05215,121.53276
新生農安街口,林森農安街口,116,25.06493,121.52778,25.06531,121.52565
新生農安街口,永樂市場,201,25.06493,121.52778,25.05454,121.51052
捷運大直站(3號出口)_1,樂群二明水路口_1,128,25.07934,121.54671,25.07983,121.55236
長春路258巷2弄口,長春龍江路口,157,25.05427,121.53896,25.05473,121.54026
合昌宮,民權新生路口,129,25.07717,121.50934,25.06305,121.52776
新生農安街口,民權新生路口,166,25.06493,121.52778,25.06305,121.52776
建國長春路口,建國長春路口(北側),507,25.05469,121.53686,25.05476,121.53693
南京建國路口,建國長春路口(北側),117,25.05214,121.5368,25.05476,121.53693
中山行政中心,松江路431巷口,311,25.06432,121.53349,25.06585,121.53338
中山行政中心,新生和平路口東北側,102,25.06432,121.53349,25.02657,121.53515
中山行政中心,林森公園,114,25.06432,121.53349,25.05223,121.52581
中山行政中心,建國農安街口,324,25.06432,121.53349,25.06503,121.53678
劍潭社區_1,通北街65巷口,321,25.08476,121.53789,25.08251,121.54004
捷運北投站,文化三杏林一路口,113,25.13187,121.499,25.14058,121.49915
桂林昆明街口,重慶保安街口(家樂福重慶店),179,25.03811,121.50362,25.05918,121.51373
復華花園新城,萬華國中_1,215,25.02964,121.50258,25.02926,121.49936
萬華青年公宅,青年公園3號出口,399,25.02021,121.50376,25.02273,121.50271
青年公園3號出口,青年路152巷口,340,25.02273,121.50271,25.01979,121.5009
東園國小,青年公園3號出口,190,25.02257,121.49807,25.02273,121.50271
捷運公館站(3號出口),青年公園3號出口,191,25.01551,121.53374,25.02273,121.50271
捷運龍山寺站(1號出口),青年公園3號出口,327,25.03535,121.49938,25.02273,121.50271
中華桂林路口,捷運龍山寺站(1號出口)_1,247,25.03771,121.50662,25.03548,121.50026
捷運龍山寺站(1號出口)_1,華西公園,414,25.03548,121.50026,25.03852,121.49881
捷運龍山寺站(1號出口),捷運龍山寺站(1號出口)_1,1674,25.03535,121.49938,25.03548,121.50026
圓環站,捷運龍山寺站(1號出口)_1,113,25.05369,121.51418,25.03548,121.50026
忠德公園,捷運龍山寺站(1號出口)_1,105,25.02516,121.49604,25.03548,121.50026
捷運龍山寺站(1號出口)_1,雙園國中,294,25.03548,121.50026,25.02673,121.49176
捷運龍山寺站(1號出口)_1,龍山國小,132,25.03548,121.50026,25.0355,121.49541
萬大路493巷,青年路152巷口,147,25.01975,121.4992,25.01979,121.5009
自來水園區,臺大水源舍區A棟,138,25.01328,121.53004,25.01493,121.53044
臺大水源舍區A棟,臺大水源舍區B棟,824,25.01493,121.53044,25.01525,121.53009
臺大舊體育館西側,臺大農業陳列館北側,106,25.0198,121.53583,25.01839,121.53404
捷運公館站(3號出口),臺大大一女舍北側,311,25.01551,121.53374,25.01547,121.53436
臺大大一女舍北側,臺大椰林小舖,239,25.01547,121.53436,25.01561,121.53583
捷運公館站(2號出口),臺大大一女舍北側,274,25.01491,121.53438,25.01547,121.53436
臺大女九舍西南側,臺大小福樓東側,256,25.01937,121.53902,25.01846,121.5376
臺大小福樓東側,臺大社科院西側,222,25.01846,121.5376,25.02053,121.54145
捷運公館站(2號出口),臺大小福樓東側,612,25.01491,121.53438,25.01846,121.5376
捷運公館站(2號出口),臺大天文數學館南側,231,25.01491,121.53438,25.02108,121.53783
臺大一號館,臺大樂學館東側,129,25.01698,121.53455,25.01793,121.53585
臺大共同教室東南側,臺大鹿鳴堂東側,160,25.01566,121.53786,25.01511,121.53786
捷運公館站(3號出口),臺大鹿鳴堂東側,324,25.01551,121.53374,25.01511,121.53786
臺大小福樓東側,臺大椰林小舖,154,25.01846,121.5376,25.01561,121.53583
臺大土木系館,臺大第一活動中心西南側,103,25.01761,121.53844,25.01761,121.53995
臺大第一活動中心西南側,臺大農業陳列館北側,164,25.01761,121.53995,25.01839,121.53404
捷運公館站(3號出口),臺大電機二館東南側,167,25.01551,121.53374,25.01857,121.54247
基隆路二段159巷口,虎林永吉路口,100,25.02561,121.55409,25.04519,121.57712
捷運松山站(3號出口),永吉公園,103,25.04962,121.57746,25.04345,121.57539
富台公園,永吉公園,211,25.04185,121.57204,25.04345,121.57539
永吉路321巷口,虎林永吉路口,259,25.04561,121.57549,25.04519,121.57712
松山永吉路口,泰和公園,120,25.04623,121.57772,25.0193,121.57105
捷運象山站(1號出口),捷運象山站(3號出口),166,25.03295,121.56867,25.03295,121.5712
捷運象山站(3號出口),松山家商(林口街),282,25.03295,121.5712,25.03593,121.57906
捷運象山站(3號出口),春光公園,101,25.03295,121.5712,25.0427,121.58112
捷運象山站(3號出口),松德公園,167,25.03295,121.5712,25.03657,121.57349
捷運象山站(3號出口),松仁路95巷口,158,25.03295,121.5712,25.03656,121.56866
捷運六張犁站,捷運古亭站(2號出口),101,25.02397,121.55266,25.0255,121.52346
捷運古亭站(2號出口),臺灣師範大學(圖書館),206,25.0255,121.52346,25.0266,121.52973
捷運古亭站(2號出口),牯嶺公園,950,25.0255,121.52346,25.02338,121.51889
捷運臺電大樓站(1號出口),水源路11-1號旁,296,25.0197,121.529,25.01602,121.52565
捷運臺電大樓站(1號出口),臺灣科技大學後門,107,25.0197,121.529,25.01182,121.54165
捷運公館站(2號出口),捷運臺電大樓站(4號出口),103,25.01491,121.53438,25.02102,121.52751
捷運臺電大樓站(4號出口),捷運臺電大樓站(5號出口),366,25.02102,121.52751,25.02075,121.52771
捷運東門站(5號出口),羅斯福三段金門街口,125,25.03363,121.52962,25.02345,121.52498
中山徐州路口,牯嶺公園,101,25.04178,121.51907,25.02338,121.51889
南昌公園,牯嶺公園,241,25.02698,121.52081,25.02338,121.51889
南京新生路口,南昌公園,225,25.05194,121.52766,25.02698,121.52081
和平重慶路口,孫立人將軍官邸,139,25.02723,121.51659,25.02933,121.51854
孫立人將軍官邸,羅斯福路二段6巷口,136,25.02933,121.51854,25.02923,121.52058
